koi_period,koi_prad,koi_insol,koi_teq,koi_duration,koi_depth,koi_steff,koi_srad,koi_slogg,ra,dec,koi_pdisposition
5.851520671,14.62,155.89,901.0,3.11058,33004.0,5532.0,0.806,4.53,284.08731,42.233231,0
3.167893418,2.62,526.23,1221.0,2.1814,781.2,5895.0,0.94,4.503,293.81647,42.212502,1
4.311780262,3.11,274.84,1038.0,2.7251,1154.0,5527.0,0.927,4.484,287.24268,42.301369,1
20.0504494,2.69,35.44,622.0,4.556,840.9,5527.0,0.927,4.484,287.24268,42.301369,1
9.76734503,2.67,92.46,791.0,1.6585,569.1,5527.0,0.927,4.484,287.24268,42.301369,1
119.0207044,8.98,4.25,366.0,8.1405,7430.5,5453.0,1.062,4.342,291.58377,42.36816,1
190.3200468,7.78,7.8,426.0,15.284,1141.7,5626.0,2.057,3.907,294.55917,46.062328,1
2.861159894,4.37,797.1,1355.0,1.8832,1014.3,6126.0,1.021,4.458,291.67172,42.343109,0
26.44439337,3.91,23.54,562.0,3.9783,1843.5,5427.0,0.929,4.463,292.87338,42.966141,1
51.53997972,5.51,9.67,450.0,6.3994,3644.3,5427.0,0.929,4.463,292.87338,42.966141,1
5.902245782,2.43,173.74,926.0,2.9003,702.3,5427.0,0.929,4.463,292.87338,42.966141,1
2.382951591,1.86,583.01,1253.0,1.8876,391.6,5427.0,0.929,4.463,292.87338,42.966141,1
21.02250608,3.07,17.48,521.0,4.1072,1772.5,5067.0,0.75,4.585,294.90973,42.935261,1
3.219814777,1.69,234.93,998.0,2.0642,488.2,5103.0,0.787,4.562,291.63898,42.436321,1
5.912273234,1.73,27.72,585.0,2.3254,961.4,4072.0,0.57,4.696,292.13702,42.42942,1
8.98581901,1.65,15.9,509.0,2.8606,881.3,4072.0,0.57,4.696,292.13702,42.42942,1
12.940668656,22.94,64.64,723.0,2.4845,42450.0,5875.0,0.809,4.572,291.11969,42.507069,1
20.5452375,2.41,71.57,742.0,2.517,218.5,5670.0,1.264,4.206,294.40192,50.172089,0
33.60123371,8.46,14.22,495.0,4.4056,7425.9,5149.0,0.93,4.447,289.26874,42.604172,1
6.76652928,1.97,120.48,845.0,2.9004,450.7,5149.0,0.93,4.447,289.26874,42.604172,1
4.347288783,2.36,449.79,1174.0,2.1024,451.6,5754.0,1.122,4.345,291.96417,42.69614,1
4.601811819,2.35,152.91,896.0,2.2607,755.9,4986.0,0.833,4.496,296.48343,42.663429,1
11.18719905,1.55,46.65,667.0,3.252,353.6,4986.0,0.833,4.496,296.48343,42.663429,1
4.220965778,2.62,29.68,595.0,3.0854,2260.0,3837.0,0.517,4.747,296.69394,42.62611,1
6.998099523,588.66,125.22,853.0,2.0488,20285.0,5612.0,0.829,4.566,287.88412,42.832439,0
5.95489993,2.33,38.52,635.0,2.3892,1410.7,4261.0,0.633,4.641,293.63696,42.82497,1
12.03987488,2.18,15.06,502.0,2.7363,1250.6,4261.0,0.633,4.641,293.63696,42.82497,1
20.83762895,1.42,7.24,418.0,2.3734,439.0,4261.0,0.633,4.641,293.63696,42.82497,1
8.8111022,63.66,904.92,1399.0,5.0683,401.1,6200.0,2.404,3.8,294.46088,38.383461,0
23.58917143,3.16,13.34,487.0,5.073,1200.7,4919.0,0.721,4.566,297.46002,42.83992,1
6.481633073,2.54,406.25,1145.0,3.784,298.5,5945.0,1.302,4.213,290.39273,40.28487,1
10.37168928,3.2,63.68,720.0,3.035,1254.9,5121.0,0.888,4.457,290.39322,43.363899,1
3.96996298,1.78,229.37,992.0,1.1757,299.2,5121.0,0.888,4.457,290.39322,43.363899,1
4.40841331,2.66,398.0,1139.0,5.012,549.4,6007.0,0.961,4.457,292.96555,43.34639,1
7.9426176,4.68,140.57,878.0,6.703,1590.7,5811.0,0.926,4.521,299.00143,43.399632,0
226.8904775,4.53,0.73,236.0,7.558,3136.4,5067.0,0.75,4.585,294.90973,42.935261,1
1.956811408,21.58,357.16,1109.0,2.1958,24905.0,5209.0,0.603,4.657,295.83536,42.943062,0
2.688899233,12.04,175.76,929.0,2.11275,37492.0,4820.0,0.639,4.667,296.68307,42.967869,1
9.439459486,4.16,52.32,686.0,2.8979,3036.1,5097.0,0.779,4.597,288.64252,43.039291,1
11.523067458,3.13,174.81,927.0,3.8757,507.3,5644.0,1.411,4.162,284.48245,44.398041,1
20.47748843,2.92,18.65,530.0,2.8364,1382.4,5097.0,0.779,4.597,288.64252,43.039291,1
3.336123113,1.74,209.79,970.0,1.9616,516.3,5097.0,0.779,4.597,288.64252,43.039291,1
8.01078456,1.72,9.9,453.0,2.312,1333.6,3713.0,0.47,4.779,294.77393,43.056301,1
12.07134205,1.29,5.74,395.0,4.3224,759.2,3713.0,0.47,4.779,294.77393,43.056301,1
20.99587872,1.3,2.74,328.0,2.6333,767.3,3713.0,0.47,4.779,294.77393,43.056301,1
7.41113177,2.45,158.11,905.0,2.5242,620.5,5849.0,0.919,4.517,295.65149,43.029831,1
1.000747038,4.14,1635.2,1620.0,0.9967,1823.5,5472.0,0.79,4.499,297.97513,43.164909,0
8.884922995,10.51,83.21,770.0,2.07004,16053.0,5332.0,0.843,4.5,291.1376,36.577381,1
8.09888906,8.95,223.19,986.0,4.20241,6911.1,6214.0,1.076,4.442,282.69952,43.272739,1
10.00653012,3.52,139.21,876.0,5.344,936.1,6063.0,1.001,4.47,283.63077,43.379398,1
17.855221681,13.16,163.04,911.0,7.41287,9065.2,6823.0,1.367,4.308,297.45374,41.01099,1
12.732624065,4.87,8.22,432.0,2.2083,6465.7,3950.0,0.541,4.721,285.16748,43.876339,1
83.92494032,4.78,0.62,226.0,6.7904,7958.7,3960.0,0.509,4.746,287.85239,43.897991,1
5.007316661,6.96,234.28,998.0,4.2362,6932.3,5865.0,0.827,4.563,295.53613,43.884449,1
2.211116989,1.85,177.19,931.0,1.6485,724.2,4500.0,0.646,4.656,285.16833,44.026459,1
27.9541337,1.9,6.04,400.0,3.95,942.5,4500.0,0.646,4.656,285.16833,44.026459,1
12.69104387,2.57,244.3,1008.0,3.7727,252.1,5869.0,1.626,4.024,292.92914,48.60281,1
4.409409243,10.95,347.06,1101.0,3.8636,12861.0,5600.0,0.975,4.368,296.41019,43.455391,0
16.23947096,4.14,30.14,598.0,4.0374,2590.7,5191.0,0.837,4.564,293.0614,43.58136,1
6.308201629,2.96,106.44,819.0,2.9785,1328.5,5191.0,0.837,4.564,293.0614,43.58136,1
2.052349884,13.12,1183.18,1497.0,2.0778,14281.0,5855.0,1.08,4.393,299.56189,43.503559,1
9.7704486,2.23,10.59,460.0,2.4517,1897.8,3906.0,0.509,4.73,282.23251,43.66563,1
5.169804269,1.66,24.75,569.0,2.153,1037.4,3906.0,0.509,4.73,282.23251,43.66563,1
21.22261195,2.48,83.56,771.0,6.5093,366.0,5945.0,1.302,4.213,290.39273,40.28487,1
20.09017037,2.25,4.05,362.0,4.154,1432.1,3906.0,0.509,4.73,282.23251,43.66563,1
7.11373257,1.16,8.01,429.0,2.1764,807.6,3561.0,0.411,4.855,296.98505,43.65852,1
3.306551643,0.91,22.19,554.0,1.8177,509.2,3561.0,0.411,4.855,296.98505,43.65852,1
15.36845737,1.11,2.86,332.0,2.4714,756.1,3561.0,0.411,4.855,296.98505,43.65852,1
13.81020318,4.56,113.75,833.0,3.048,1309.7,5942.0,1.142,4.327,281.96063,43.70311,1
4.093578461,2.85,461.07,1182.0,2.5833,538.6,6077.0,0.999,4.471,290.26328,44.55645,1
105.145959,3.43,6.09,401.0,8.593,685.4,6077.0,0.999,4.471,290.26328,44.55645,1
10.8484518,2.34,14.66,499.0,2.9993,1675.6,4201.0,0.591,4.682,295.57935,44.545959,1
6.66833241,1.18,28.06,587.0,1.915,362.3,4201.0,0.591,4.682,295.57935,44.545959,1
4.082274889,10.55,251.48,1016.0,3.23015,17859.0,5655.0,0.794,4.581,284.83047,44.658138,1
3.886655224,1.87,246.29,1010.0,3.1646,581.6,5662.0,0.738,4.61,288.72665,44.60751,1
42.1406089,1.85,3.49,349.0,5.083,895.5,4500.0,0.646,4.656,285.16833,44.026459,1
4.617490562,1.62,66.47,728.0,2.2618,575.8,4500.0,0.646,4.656,285.16833,44.026459,1
10.19849255,1.75,23.11,559.0,2.4283,634.1,4500.0,0.646,4.656,285.16833,44.026459,1
5.795063956,4.33,192.74,950.0,3.2496,1692.9,5865.0,0.827,4.563,296.50754,44.036072,0
7.15681552,2.47,88.23,782.0,2.5882,867.0,5029.0,0.838,4.494,289.59476,44.141949,1
17.64830851,2.43,26.49,579.0,2.0873,763.3,5029.0,0.838,4.494,289.59476,44.141949,1
4.14810719,1.08,182.76,938.0,2.535,175.2,5029.0,0.838,4.494,289.59476,44.141949,1
16.51410989,2.72,43.57,655.0,4.1575,973.5,5527.0,0.866,4.488,296.56622,44.105862,1
